culture,sale_uid,sale_display_name
de_CH,de_CH422968,Ägypten / Bei Hurghada - JAZ Elite Asteria 5*
de_CH,de_CH423038,Italien / Rom - Grand Hotel Plaza Rom 5*
de_CH,de_CH422542,Griechenland / Mykonos - Panormos Bay Suites
de_CH,de_CH423219,Balearen / Mallorca - VIVA Golf Adults Only 18+
de_CH,de_CH422950,Frankreich / Paris - Hotel Balmoral 4*
de_CH,de_CH423117,Grossbritannien / London - Hampton by Hilton London Waterloo
de_CH,de_CH422510,"Oman / Muskat, Jebel Akhdar & Nizwa - Private Tour: Einzigartige Panoramen und zeitlose Schönheit ab 5 Nächten"
de_CH,de_CH422841,Griechenland / Mykonos - PIETRA MARE MYKONOS MOMENTS
de_CH,de_CH422282,"Indien / Neu-Delhi, Jaipur, Ranthambore & Agra - Private Rundreise: Unvergessliches Rajastan in 7 bis 11 Nächten"
de_CH,de_CH422123,"Vietnam / Hanoi, Ho Chi Minh & Mui Ne - Circuit Privatif Vietnam à votre rythme"
de_CH,de_CH422920,Kombireise / Japan & Taiwan - Rundreise von Nippons Neon bis zu den Tempeln Taipeis
de_CH,de_CH423068,Vereinigte Arabische Emirate / Dubai - Raffles The Palm Dubai by Accor
de_CH,de_CH423192,"Frankreich / Aix-en-Provence - Mercure Aix en Provence Beaumanoir, La Villa Borghese"
de_CH,de_CH421636,Spanien / Costa Brava  - Hotel Florida Park 4*
de_CH,de_CH423103,Türkei / Kemer - Miramor Hotel & Spa 5*
de_CH,de_CH422947,Deutschland / Berlin - Birgit Hotel Berlin Mitte
de_CH,de_CH422976,Montenegro / Adriaküste - Azul Beach Resort Montenegro 4*
de_CH,de_CH422897,Frankreich / Paris - Hotel Monterosa
de_CH,de_CH423037,"Spanien / Granada, Córdoba, Sevilla - Autotour in 8 Tagen & 7 Nächten"
de_CH,de_CH423091,Simbabwe & Botswana / Viktoriafälle & Chobe - Gruppenrundreise: Highlights der Victoriafälle und Munga Plains
de_CH,de_CH422782,Griechenland / Kos - Palladium hotel
de_CH,de_CH422683,Österreich / Wien - ARCOTEL Donauzentrum 4*
de_CH,de_CH423112,Belgien / Brüssel - Pullman Brussels Centre Midi 4*
de_CH,de_CH422660,Griechenland / Mykonos - Amazon Mykonos Hotel 5 *
de_CH,de_CH422761,Italien / Venedig - IH VENEZIA SALUTE PALACE
de_CH,de_CH422635,Dominikanische Republik / Punta Cana - Wyndham Alltra Punta Cana
de_CH,de_CH423139,Portugal / Algarve - Vidamar Resort Algarve 5*
de_CH,de_CH422939,"Kombireise / Norwegen, Schweden und Finnland - Autotour: Die drei Lappländer unter der Mitternachtssonne"
de_CH,de_CH422610,"Kombireise / New York & Playa del Carmen - Sheraton New York Times Square, Barcelo Maya Caribe"
de_CH,de_CH422927,Spanien / Katalonien - Ponient Marinada by PortAventura World
de_CH,de_CH422935,"Kombireise / Singapur & Bali - Dusit Thani Laguna Singapore 5*, Asvara Villa Ubud by Ini Vie Hospitality 5*, Royal Avila Boutique Resort Lombok 5*, Bali Beach Hotel Sanur 5*"
de_CH,de_CH422560,Kanaren / Fuerteventura - Adults only: Labranda Golden Beach 4*
de_CH,de_CH422457,"Kombireise / Sri Lanka & Malediven - Private Rundreise: Highlights von Ceylon, Brennia Kottefaru Maldives 5*"
de_CH,de_CH423023,Niederlande / Im Norden von Amsterdam - Inntel Hotel Amsterdam Zaandam 4*
de_CH,de_CH422728,Vereinigte Arabische Emirate / Ras al Khaimah - Anantara Mina Al Arab Ras Al Khaimah Resort 5*
de_CH,de_CH422188,"Sizilien / Palermo, Cefalù, Catania - Autotour: Der Nordosten Siziliens"
de_CH,de_CH423243,Italien / Bologna - Mercure Bologna Centro 4*
de_CH,de_CH422114,Balearen / Mallorca - Iberostar Waves Cala Domingos 4*
de_CH,de_CH422520,Wallis / Bei Champéry - Hotel Mountain Lodge 4*
de_CH,de_CH422931,Frankreich / Provence  - Le Petit Palais d'Aglaé
de_CH,de_CH421261,Tunesien / Djerba - Hotel Telemaque Beach & Spa 4*
de_CH,de_CH422853,Spanien / Valencia - Hospes Palau De La Mar
de_CH,de_CH422380,"Italien / Alberobello, Ostuni, Lecce - Villa Neviera Wine Reosrt and Spa, Coclee Suite Palace"
de_CH,de_CH423092,Griechenland / Kreta - Hotel Elounda Orama 4*
de_CH,de_CH422963,Schweden / Lappland - Nordic Lapland Resort
de_CH,de_CH423225,Balearen / Ibiza - Hotel Moon Dreams Paraiso
de_CH,de_CH422869,Tschechien / Prag - Vienna House Diplomat Prague 4*
de_CH,de_CH422783,Ägypten / Hurghada - TUI MAGIC LIFE Kalawy
de_CH,de_CH422398,Schweiz / Montreux - Mona Montreux
de_CH,de_CH423123,Türkei / Bodrum - BAIA HOTEL BODRUM
de_CH,de_CH420594,Tunesien / Hammamet - Steigenberger Marhaba Thalasso Hammamet
de_CH,de_CH422845,Italien / Cinque Terre & Florenz - Rundreise: Mit dem Zug durch die Cinque Terre
de_CH,de_CH423290,Italien / Ligurien - Adults Only: Sublimis Boutique Hotel 4*
de_CH,de_CH423043,"Thailand / Phuket, Khao Lak - Metadee Concept Hotel, Outrigger Khao Lak Beach Resort, Pullman Bangkok Hotel G"
de_CH,de_CH422716,Mexiko / Riviera Maya - Dreams Sapphire by AMR Collection
de_CH,de_CH423242,Griechenland / Zentralmakedonien - Cronwell Platamon Resort
de_CH,de_CH423224,Griechenland / Mykonos   - Rhenia Hotel Mykonos
de_CH,de_CH420599,Griechenland / Santorini - Valsamo Suite
de_CH,de_CH422896,"Italien / Apulien - Riva del Sole, Palazzo Arco Cadura & SPA"
de_CH,de_CH422941,"Bali / Ubud, Lombok & Sanur - Asvara Villa Ubud by Ini Vie Hospitality 5*, Royal Avila Boutique Resort Lombok 5*, Bali Beach Hotel Sanur 5*"
de_CH,de_CH423353,Spanien / Madrid - Voco Madrid Retiro 4*
de_CH,de_CH422954,Balearen / Mallorca - Cook's Club Calvia Beach
de_CH,de_CH421649,Griechenland / Bei Athen  - Dolce Attica Riviera 5*
de_CH,de_CH423285,"Griechenland / Korfu - Domes of Corfu, Autograph Collection 5*"
de_CH,de_CH422952,Tschechien / Prag - The Julius Prague 5*
de_CH,de_CH422944,Portugal / Algarve - Adults Only: Palmares Signature Appartments 5*
de_CH,de_CH422921,"Tansania / Serengeti, Ngorongoro & Sansibar - Safari in Tansania in 4 oder 6 Nächten, Voi Kiwengwa Resort 4*"
de_CH,de_CH423138,"Malaysia / Kuala Lumpur, Ipoh & Penang - Hotel Stripes Kuala Lumpur  Autograph Collection 5*, Rundreise Ipoh + Penang "
de_CH,de_CH423175,Grossbritannien / London - New Road Hotel
de_CH,de_CH423195,Frankreich / Lothringen - MAISON HELER METZ
de_CH,de_CH419580,Spanien / Andalusien - Playacapricho
de_CH,de_CH423025,Schweden / Stockholm - Blique by Nobis 4* 
de_CH,de_CH422871,"Vietnam / Ho Chi Minh Stadt, Hue & Halong - Private Rundreise: Entdeckungsreise mit Möglichkeit zur Verlängerung am Strand"
de_CH,de_CH422989,Grossbritannien / London - InterContinental London - The O2 5*
de_CH,de_CH423315,Portugal / Azoren - Torel Terra Brava
de_CH,de_CH422603,"Jordanien / Amman, Petra, Dana & Wadi Rum - Klassiche Jordanien Rundreise"
de_CH,de_CH422919,USA / New York  - Hotel Hendricks 4*
de_CH,de_CH422967,"Katar / Doha - InterContinental Doha Beach & Spa, The Outpost Al Barari"
de_CH,de_CH422922,Ägypten / Hurghada - Mercure Hurghada Red Sea
de_CH,de_CH423280,Griechenland / Rhodos - Aquagrand Exclusive Deluxe
de_CH,de_CH416923,Schweiz / Walliser Alpen - Hôtel des Bains de Saillon
de_CH,de_CH423102,Spanien / Costa Blanca - Occidental Pueblo Acantilado
de_CH,de_CH422999,Dominikanische Republik / Punta Cana - Bakour Punta Cana Suites 5*
de_CH,de_CH422600,Italien / Rom - Mama Shelter Roma 4*
de_CH,de_CH421717,"Thailand / Bangkok & Samui - Pullman Bangkok Hotel G, Samui Buri Beach Resort, Panviman Resort Koh Phangan"
de_CH,de_CH423015,Italien / Sardinien - Zeta Club San Teodoro Le Rose
de_CH,de_CH423310,USA / New York - The Michelangelo
de_CH,de_CH423259,Portugal / Porto  - HF Ipanema Park 5*
de_CH,de_CH418424,Griechenland / Kreta - Ostria Resort & Spa
de_CH,de_CH421164,"Thailand / Phuket, Coconut Island & Khao Lak - Namaka Resort Kamala, Island Escape Burasari, Le Meridien Khao Lak Resort & Spa, Radisson Suites Bangkok Sukhumvit"
de_CH,de_CH422815,Indonesien / Bali und Komodo - Private Rundreise: Von Bali nach Komodo inkl. Ausflüge
de_CH,de_CH423196,Ungarn / Budapest - Smart Hotel Budapest
de_CH,de_CH422301,Italien / Lombardei - VILLA FENAROLI
de_CH,de_CH422663,Griechenland / Halkidiki - AMMOA LUXURY HOTEL & SPA RESORT
de_CH,de_CH422630,Ägypten / Sharm El Sheikh - Parrotel Beach Resort 5*
de_CH,de_CH422964,Spanien / Costa Brava - Tent Hotel Lloret de Mar
de_CH,de_CH422812,Ägypten / Hurghada - Pickalbatros Dana Beach Resort
de_CH,de_CH422616,Ungarn / Budapest - Corinthia Budapest Grand Hotel Royal 5*
